no,site_id,nama,kategori,kabupaten,branch,cluster,long,lat,distance
1,MGR071,Masjid AAL Karim,Tempat Ibadah,BELITUNG TIMUR,PANGKAL PINANG,BANGKA SELATAN,108.10042,-3.013528,1.33
2,MGR071,SMPN 2 Gantung,Sekolah / Kampus,BELITUNG TIMUR,PANGKAL PINANG,BANGKA SELATAN,108.086449,-3.028596,0.97
3,MGR071,Kantor Desa,Perkantoran,BELITUNG TIMUR,PANGKAL PINANG,BANGKA SELATAN,108.096198,-3.019106,0.57
4,MGR071,Kantor KPHP ,Perkantoran,BELITUNG TIMUR,PANGKAL PINANG,BANGKA SELATAN,108.083268,-3.030512,1.37
5,MGR071,Kantor Desa,Perkantoran,BELITUNG TIMUR,PANGKAL PINANG,BANGKA SELATAN,108.096198,-3.019106,0.57
6,MGR071,Kantor KPHP ,Perkantoran,BELITUNG TIMUR,PANGKAL PINANG,BANGKA SELATAN,108.083268,-3.030512,1.37
7,TJN005,Musholla Al Halim,Tempat Ibadah,BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.654367,-2.775822,0.52
8,TJN005,SDN 42 TANJUNG PANDAN,Sekolah / Kampus,BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.652146,-2.779372,0.14
9,TJN005,Masjid AT TAQWA,Tempat Ibadah,BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.64922,-2.780771,0.44
10,TJN005,Musholla Al Halim,Tempat Ibadah,BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.654367,-2.775822,0.52
11,TJN005,SDN 42 TANJUNG PANDAN,Sekolah / Kampus,BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.652146,-2.779372,0.14
12,TJN005,Masjid AT TAQWA,Tempat Ibadah,BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.64922,-2.780771,0.44
13,TJN005,Restoran xing fu,Hang Out Place (Café / Mall),BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.664381,-2.774054,1.44
14,TJN005,Pelanggi Waterpark Belitung,Tempat Wisata,BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.651913,-2.782051,0.3
15,TJN005,Praktik Dokter Anak Belitung,Rumah Sakit,BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.652928,-2.784432,0.48
16,TJN005,XYZ Meet Up Zone Belitung,Tempat Wisata,BELITUNG,PANGKAL PINANG,BANGKA SELATAN,107.640818,-2.78218,1.39
17,KOB019,"Masjid Jabl nur.kemingking,sungai",Tempat Ibadah,BANGKA TENGAH,PANGKAL PINANG,BANGKA SELATAN,106.131555,-2.45903,0.36
18,KOB019,Kantor desa kemingking,Perkantoran,BANGKA TENGAH,PANGKAL PINANG,BANGKA SELATAN,106.132331,-2.458214,0.37
19,KOB019,SD Negeri 7 sungai selan,Sekolah / Kampus,BANGKA TENGAH,PANGKAL PINANG,BANGKA SELATAN,106.132117,-2.460236,0.51
20,KOB019,sdn 15 sungaiselan,Sekolah / Kampus,BANGKA TENGAH,PANGKAL PINANG,BANGKA SELATAN,106.131291,-2.462646,0.71
21,TBI110,SDN7 RANGGAS,Sekolah / Kampus,BANGKA SELATAN,PANGKAL PINANG,BANGKA SELATAN,106.372991,-2.590457,0.85
22,TBI110,SDN7 AIRGEGAS,Sekolah / Kampus,BANGKA SELATAN,PANGKAL PINANG,BANGKA SELATAN,106.372613,-2.589371,0.87
23,TBI110,Masjid/Mushollah,Tempat Ibadah,BANGKA SELATAN,PANGKAL PINANG,BANGKA SELATAN,106.373366,-2.596127,0.11
24,TBI024,SMPN 2 Tobali,Sekolah / Kampus,BANGKA SELATAN,PANGKAL PINANG,BANGKA SELATAN,106.460266,-2.993401,0.66
25,TBI024,Masjid Al-Fitrah,Tempat Ibadah,BANGKA SELATAN,PANGKAL PINANG,BANGKA SELATAN,106.461797,-2.991138,0.56
26,TBI024,Kantor Lurah Teladan,Perkantoran,BANGKA SELATAN,PANGKAL PINANG,BANGKA SELATAN,106.461377,-2.992339,0.63
27,TBI024,Masjid Siratol Mustaqim,Tempat Ibadah,BANGKA SELATAN,PANGKAL PINANG,BANGKA SELATAN,106.453518,-2.998002,1.21
28,NTB049,Madrasah Diniyah Tahfidz al-ihsan,Sekolah / Kampus,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.433164,-1.721792,0.23
29,NTB049, Masjid Jami,Tempat Ibadah,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.4336,-1.723438,0.07
30,NTB049,SD Negeri 5 Jebus,Sekolah / Kampus,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.434453,-1.719571,0.29
31,NTB014,Masjid Baiturahman,Tempat Ibadah,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.736326,-1.818651,0.41
32,NTB014,Kantor Pemerintah Desa Tuik,Perkantoran,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.736747,-1.81698,0.19
33,NTB014,SDN 5 Kelapa,Sekolah / Kampus,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.735051,-1.816197,0.22
34,NTB014,Sdn 05 Ds Tuk Kec Kelapa,Sekolah / Kampus,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.729509,-1.805492,1.39
35,MTK135,Cafe Pempek Tasya,Hang Out Place (Café / Mall),BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.683958,-1.885966,1.07
36,MTK135,FOOD N CAFE,Hang Out Place (Café / Mall),BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.681612,-1.884992,1.33
37,MTK135,Musholla Al-Hidayah,Tempat Ibadah,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.697796,-1.890114,0.74
38,MTK135,SMA Negeri 1 Kelapa,Sekolah / Kampus,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.698953,-1.888655,0.72
39,MTK135,Balai Penyuluhan Pertanian,Perkantoran,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.7001,-1.889017,0.85
40,MTK135,SDN Negeri 15 Kelapa,Sekolah / Kampus,BANGKA BARAT,PANGKAL PINANG,BANGKA UTARA,105.701095,-1.892123,1.15
41,SLT077,Surau An Nur,Tempat Ibadah,BANGKA,PANGKAL PINANG,BANGKA UTARA,106.125384,-1.87018,0.85
42,SLT077,Paud Ananda Gemilang,Sekolah / Kampus,BANGKA,PANGKAL PINANG,BANGKA UTARA,106.127061,-1.872442,0.55
43,SLT077,Masjid Nurul Imah,Tempat Ibadah,BANGKA,PANGKAL PINANG,BANGKA UTARA,106.120738,-1.875336,1.19
44,SLT077,SDN 13 Sungailiat,Sekolah / Kampus,BANGKA,PANGKAL PINANG,BANGKA UTARA,106.123877,-1.871836,0.89
45,SLT077,MASJID AR-ROKI'IN,Tempat Ibadah,BANGKA,PANGKAL PINANG,BANGKA UTARA,106.123737,-1.864412,1.42
46,SLT077,PT.ATD MAKMUR MANDIRI,Perkantoran,BANGKA,PANGKAL PINANG,BANGKA UTARA,106.134457,-1.866425,0.97
47,SLT077,PT.Mitra Stania Prima,Perkantoran,BANGKA,PANGKAL PINANG,BANGKA UTARA,106.134808,-1.86441,1.22
48,NTB112,TARU cafe,Hang Out Place (Café / Mall),PENUKAL ABAB LEMATANG ILIR,PALEMBANG,BANYUASIN,104.055934,-3.212006,1.44
49,NTB112,PAUD AL GURA SAKTI,Sekolah / Kampus,PENUKAL ABAB LEMATANG ILIR,PALEMBANG,BANYUASIN,104.054752,-3.208122,1
50,NTB112,SD NEGERI 7 PENUKAL,Sekolah / Kampus,PENUKAL ABAB LEMATANG ILIR,PALEMBANG,BANYUASIN,104.049166,-3.203219,0.19
51,NTB112,Masjid Nurul Iman,Tempat Ibadah,PENUKAL ABAB LEMATANG ILIR,PALEMBANG,BANYUASIN,104.052152,-3.20677,0.7
52,NTB112,Kantor Kepala Desa Sukaraja,Perkantoran,PENUKAL ABAB LEMATANG ILIR,PALEMBANG,BANYUASIN,104.047195,-3.201584,0.14
53,PBI146,SD Negeri Banyuasin 1,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.943275,-2.90084,1.23
54,PBI146,Masjid jamiatul muslim,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.943163,-2.90045,1.26
55,PBI146,Kantor desa panca desa,Perkantoran,BANYU ASIN,PALEMBANG,BANYUASIN,104.946519,-2.922541,1.2
56,PBI146,Kantor Koperasi Desa Merah Putih,Perkantoran,BANYU ASIN,PALEMBANG,BANYUASIN,104.948208,-2.923642,1.37
57,PBI146,SDN 6 AIR KUMBANG,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.949157,-2.922964,1.34
58,PBI146,Masjid pal lima banyuasin 1,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.946595,-2.923414,1.31
59,PBI136,Masjid Nurul Ikhlas,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.883231,-2.480578,1.1
60,PBI136,Masjid darut taqwa,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.885355,-2.487963,0.3
61,PBI136,PT.SINAR KRISNA LOGISTIK,Perkantoran,BANYU ASIN,PALEMBANG,BANYUASIN,104.888435,-2.488551,0.12
62,PBI136,Musholla Darul Hikmah,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.884557,-2.493818,0.6
63,PBI136,musola baiturahman,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.884675,-2.50183,1.43
64,PBI136,SMAN 1 Sumber Marga Telang,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.89931,-2.486821,1.33
65,PBI094,Masjid Al-Husen,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.615478,-2.906648,1.05
66,PBI094,Paud Al-Hafiz,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.614578,-2.907604,1.14
67,PBI094,SDN 6 TALANG KELAPA,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.616311,-2.910029,1.42
68,PBI094,SMPS Yapi Air Batu,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.61695,-2.906064,1
69,PBI094,Musolla AN'NUR,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.619352,-2.905544,1.07
70,PBI094,SDN 15 Talang Kelapa,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.622499,-2.907907,1.47
71,PBI094,Masjid Baitul Mukminim Air Batu,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.623802,-2.903482,1.23
72,PBI094,sdn 31 Talang Kelapa,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.622977,-2.901534,1.04
73,PBI094,Masjid Fiasol Ghozi,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.612586,-2.902969,0.67
74,PBI094,Masjid Nurul Iman Sungai Rengit,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.611541,-2.899073,0.39
75,PBI094,SMP Negeri 2 Talang Kelapa,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.611145,-2.894672,0.48
76,PBI094,Masjid Nurul Bakti ,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.611976,-2.895445,0.36
77,PBI094,Masjid LDII Sungai Rengit,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.615895,-2.897199,0.17
78,PBI036,Lapas Narkotika Banyuasin,Perkantoran,BANYU ASIN,PALEMBANG,BANYUASIN,104.643646,-2.93451,0.76
79,PBI036,PT.Sariguna Primatirta,Perkantoran,BANYU ASIN,PALEMBANG,BANYUASIN,104.652565,-2.932149,0.46
80,PBI036,Pasar Kalangan Tiga Putri,Pasar ,BANYU ASIN,PALEMBANG,BANYUASIN,104.658812,-2.937177,0.95
81,PBI036,Masjid An Nurdin,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.659454,-2.932744,1.06
82,PBI036,SDN 34 Talang Kelapa,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.65943,-2.932255,1.08
83,PBI036,Paud Annisa Gumay,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.649049,-2.939716,0.48
84,PBI036,Masjid As-Salam,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.642855,-2.932141,0.93
85,PBI036,Masjid Nurul Hidayah,Tempat Ibadah,BANYU ASIN,PALEMBANG,BANYUASIN,104.65253,-2.947234,1.33
86,PBI036,Ponpes Salafiyah Darussalam,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.652412,-2.943338,0.9
87,PBI036,Yayasan Miteraya Sriwijaya,Sekolah / Kampus,BANYU ASIN,PALEMBANG,BANYUASIN,104.655052,-2.947585,1.42
88,AGR048,Masjid Bitut Taqwa,Tempat Ibadah,BENGKULU UTARA,BENGKULU,BENGKULU,102.164914,-3.357185,1.34
89,AGR048,SMPN 30 Bengkulu Utara,Sekolah / Kampus,BENGKULU UTARA,BENGKULU,BENGKULU,102.179,-3.359459,0.35
90,AGR048,Kantor Desa Sido Luhur,Perkantoran,BENGKULU UTARA,BENGKULU,BENGKULU,102.177577,-3.37004,1.45
91,AGR048,Kantor pengawas bendung DAM,Perkantoran,BENGKULU UTARA,BENGKULU,BENGKULU,102.179018,-3.355495,0.29
92,AGR048,Nurul Iman Mosque,Tempat Ibadah,BENGKULU UTARA,BENGKULU,BENGKULU,102.182753,-3.35384,0.73
93,AGR173,Masjid Nurul Ihsan,Tempat Ibadah,BENGKULU UTARA,BENGKULU,BENGKULU,101.643146,-3.230653,0.77
94,AGR173,AL Djihab Mosque,Tempat Ibadah,BENGKULU UTARA,BENGKULU,BENGKULU,101.634336,-3.228789,0.85
95,AGR173,Masjid/Mushollah,Tempat Ibadah,BENGKULU UTARA,BENGKULU,BENGKULU,101.647324,-3.218846,0.93
96,AGR173,Klinik Bidan RITA,Rumah Sakit,BENGKULU UTARA,BENGKULU,BENGKULU,101.63636,-3.22568,0.48
97,NTB110,Masjid Kota Lekat,Tempat Ibadah,BENGKULU UTARA,BENGKULU,BENGKULU,102.267995,-3.510225,0.58
98,NTB110,Kantor Desa Lekat Ilir,Perkantoran,BENGKULU UTARA,BENGKULU,BENGKULU,102.268082,-3.509332,0.47
99,NTB110,MASJIDSYUHADA DESA KEDU BARU,Tempat Ibadah,BENGKULU UTARA,BENGKULU,BENGKULU,102.27074,-3.51563,1.2
100,NTB110,SDN 034 BENGKULU UTARA,Sekolah / Kampus,BENGKULU UTARA,BENGKULU,BENGKULU,102.277728,-3.513824,1.38
101,NTB110,AMP PT. Bunga Mas Perkasa,Perkantoran,BENGKULU UTARA,BENGKULU,BENGKULU,102.277506,-3.511843,1.21
102,MKO054,HOTEL RAFFLECIA,Hang Out Place (Café / Mall),BENGKULU UTARA,BENGKULU,BENGKULU,101.295483,-2.616921,0.51
103,MKO054,J&T EXPRESS,Perkantoran,MUKOMUKO,BENGKULU,BENGKULU,101.291596,-2.61834,0.06
104,MKO054,Pasar Senen Penarik,Pasar ,MUKOMUKO,BENGKULU,BENGKULU,101.29702,-2.614847,0.77
105,MKO054,Toko Fitri Darwin,Pasar ,MUKOMUKO,BENGKULU,BENGKULU,101.299246,-2.614634,1
106,MKO054,Istana Playground Kimberly,Hang Out Place (Café / Mall),MUKOMUKO,BENGKULU,BENGKULU,101.300557,-2.612832,1.23
107,SPN105,Musholla Darul Ma'ruf,Tempat Ibadah,KERINCI,JAMBI,KERINCI MERANGIN,101.542804,-2.105334,0.46
108,SPN105,Pasar Selasa Kota Baru,Pasar ,KERINCI,JAMBI,KERINCI MERANGIN,101.542706,-2.103381,0.24
109,SPN105,Islamic Junior High School,Sekolah / Kampus,KERINCI,JAMBI,KERINCI MERANGIN,101.543048,-2.100695,0.07
110,SPN105,TPA/TPSA Darussalam,Sekolah / Kampus,KERINCI,JAMBI,KERINCI MERANGIN,101.545311,-2.09742,0.5
111,SPN105,BBI Balai Benih Induk Ikan,Perkantoran,KERINCI,JAMBI,KERINCI MERANGIN,101.545788,-2.092829,1.02
112,SPN121,Masjid Makmur Mosque,Tempat Ibadah,KOTA SUNGAI PENUH,JAMBI,KERINCI MERANGIN,101.378291,-2.077048,1
113,SPN121,Puskesmas Sungai Buntai,Rumah Sakit,KOTA SUNGAI PENUH,JAMBI,KERINCI MERANGIN,101.371772,-2.080876,0.21
114,SPN121,SD Negeri 019 Sungai Jernih,Sekolah / Kampus,KOTA SUNGAI PENUH,JAMBI,KERINCI MERANGIN,101.383356,-2.080835,1.33
115,BKO092,Masjid Addi Nurul Hidayat,Tempat Ibadah,MERANGIN,JAMBI,KERINCI MERANGIN,101.979841,-2.384023,0.61
116,BKO092,Masjid Lama,Tempat Ibadah,MERANGIN,JAMBI,KERINCI MERANGIN,101.98311,-2.384209,0.26
117,BKO101,SDN No.121/VI Aur Berduri,Sekolah / Kampus,MERANGIN,JAMBI,KERINCI MERANGIN,102.202894,-2.005779,"0,44"
118,BKO101,Kantor Desa Aur Berduri,Perkantoran,MERANGIN,JAMBI,KERINCI MERANGIN,102.204164,-2.00535,"0,30"
119,BKO101,Toko Bangko Sports,Pasar ,MERANGIN,JAMBI,KERINCI MERANGIN,102.205431,-2.005306,"0,18"
120,BKO101,Bumi Perkemahan Merangin,Tempat Wisata,MERANGIN,JAMBI,KERINCI MERANGIN,102.20545,-2.005579,"0,20"
121,BKO101,Masjid Jabal Nur,Tempat Ibadah,MERANGIN,JAMBI,KERINCI MERANGIN,102.210667,-1.999512,"0,69"
122,BKO101,Toko Sembako Auliya,Pasar ,MERANGIN,JAMBI,KERINCI MERANGIN,102.198866,-2.00416,"0,85"
123,KLA343,Musholla Nurul Yaqin,Tempat Ibadah,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.318447,-5.322123,"1,38"
124,KLA343,SMP Negeri 1 Jati Agung,Sekolah / Kampus,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.327839,-5.328598,"0,17"
125,KLA343,Klinik Pratama Bhakti Kasih,Rumah Sakit,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.321248,-5.320909,"1,37"
127,KLA343,SDN 1 Marga Agung,Sekolah / Kampus,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.323756,-5.319874,"1,26"
128,KLA343,GKSBS Jati Agung,Perkantoran,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.324195,-5.319579,"1,24"
129,KLA343,Rumah Kasih Lampung ,Perkantoran,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.331794,-5.33291,"0,53"
130,KLA343,Musholla baiturrohman ,Tempat Ibadah,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.32965,-5.329422,"0,22"
131,KLA343,Pp. Roudiatul Qur'an ,Sekolah / Kampus,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.32226,-5.322724,"1,05"
132,KLA343,Musholla Al-Mubarok,Tempat Ibadah,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.322411,-5.322494,"1,05"
133,KLA343,Musholla Al-Islam,Tempat Ibadah,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.326927,-5.33294,0.33
134,KLA343,Masjid Nurul Falah,Tempat Ibadah,LAMPUNG SELATAN,LAMPUNG,KOTA BANDAR LAMPUNG,105.32107,-5.31946,"1,42"
