No,Site,Site Name,Kabupaten,Kecamatan,Latitdue,Longitude
1,MGR071,DesaJangkarAsam2,BELITUNG TIMUR,GANTUNG,-3.023201,108.093191
2,TJN005,Dukong2,BELITUNG,TANJUNGPANDAN,-2.78012,107.6531
3,KOB019,KemingkingSSelan,BANGKA TENGAH,SUNGAI SELAN,-2.456639,106.129339
4,TBI110,DesaRenggas,BANGKA SELATAN,AIR GEGAS,-2.597,106.37312
5,TBI024,Teladan2,BANGKA SELATAN,TOBOALI,-2.987958,106.457821
6,NTB049,SungaiBuluh,BANGKA BARAT,JEBUS,-1.72381,105.43313
7,NTB014,KelapaTuik,BANGKA BARAT,KELAPA,-1.81494,105.73659
8,MTK135,KelapaBangkaBarat,BANGKA BARAT,KELAPA,-1.885,105.6936
9,SLT077,Jelitik,BANGKA,SUNGAILIAT,-1.87468,106.13135
10,NTB112,SukarajaPenukal,PENUKAL ABAB LEMATANG ILIR,PENUKAL,-3.201611,104.04844
11,PBI146,PancaDesa,BANYUASIN,BANYUASIN I,-2.91188,104.9445
12,PBI136,TanjungBaruBNS,BANYUASIN,SUMBER MARGA TELANG,-2.489314,104.88766
13,PBI094,SungaiRengitTalangkelapa,BANYUASIN,TALANG KELAPA,-2.897278,104.61456
14,PBI036,JalanTanjungSari,BANYUASIN,TALANG KELAPA,-2.93568,104.65037
15,AGR048,BKKBN_Kurotidur2,BENGKULU UTARA,PADANG JAYA,-3.35708,102.17699
16,AGR173,PasarSebelatPutriHijau,BENGKULU UTARA,PUTRI HIJAU,-3.22435,101.640475
17,NTB110,KotaLekatIlir,BENGKULU UTARA,HULU PALIK,-3.505281,102.26885
18,MKO054,Saribulan,MUKO MUKO,AIR DIKIT,-2.61883,101.29132
19,SPN105,TalangKemulun,KERINCI,DANAU KERINCI,-2.101261,101.542821
20,SPN121,TalangLindungSPN,KOTA SUNGAI PENUH,SUNGAI BUNGKAL,-2.082871,101.371551
21,BKO092,TalanGasal,MERANGIN,LEMBAH MASURAI,-2.3832,101.9852
22,BKO101,AurBerduri2,MERANGIN,NALO TANTAN,-2.004176,102.206575
23,KLA343,MargaAgung,LAMPUNG SELATAN,JATI AGUNG,-5.330151,105.327931
24,KLA340,Pasuruan,LAMPUNG SELATAN,PENENGAHAN,-5.741061,105.678981
25,KLA174,NegaraRatuNatar,LAMPUNG SELATAN,NATAR,-5.31684,105.18377
26,BDL029,TalangReloc,KOTA BANDAR LAMPUNG,TELUK BETUNG UTARA,-5.445112,105.263507
27,NTB089,JeranglahTinggi,BENGKULU SELATAN,MANNA,-4.45649,102.94498
28,KPH027,KandangKPH,KEPAHIANG,SEBERANG MUSI,-3.682581,102.596871
29,KOT205,GunungMeraksaTanggamus,TANGGAMUS,PULAU PANGGUNG,-5.327431,104.718911
30,KOT094,TanjungHeran,TANGGAMUS,PUGUNG,-5.33181,104.7975
31,KUI011,PantaiTanjungSetia,PESISIR BARAT,PESISIR SELATAN,-5.30966,104.00081
32,KUI008,PadangHaluan,PESISIR BARAT,KRUI SELATAN,-5.2287,103.9356
33,LIW200,BatuKebayan2,LAMPUNG BARAT,BATU KETULIS,-5.03172,104.25063
34,GNS249,UmanAgung,LAMPUNG TENGAH,BANDAR MATARAM,-4.74695,105.42395
35,GNS189,Ramaindra,LAMPUNG TENGAH,SEPUTIH RAMAN,-4.92302,105.3399
36,GNS183,BumiNabungUtara,LAMPUNG TENGAH,BUMI NABUNG,-4.66316,105.57424
37,GNS134,BumiNabungIlir,LAMPUNG TENGAH,BUMI NABUNG,-4.665999,105.55214
38,GNS115,SumberAgungMataram,LAMPUNG TENGAH,SEPUTIH MATARAM,-4.828545,105.34503
39,JBI025,NEWJELUTUNG2,KOTA JAMBI,JELUTUNG,-1.605608,103.61612
40,SGE095,TalangBelido2,MUARO JAMBI,SUNGAI GELAM,-1.69005,103.65361
41,SKY335,LaiSMUbaSMA3,MUSI BANYUASIN,LAIS,-2.86844,104.07471
42,SKY334,SetiaJayaSungaiKeruh,MUSI BANYUASIN,SUNGAI KERUH,-3.15247,103.72446
43,SKY096,SukaDamaiSekayu,MUSI BANYUASIN,PLAKAT TINGGI,-2.87595,103.52118
44,SKY031,TanjungRayaSangadesa,MUSI BANYUASIN,SANGA DESA,-2.73378,103.4743
45,SKY084,NgantiMuba,MUSI BANYUASIN,SANGA DESA,-2.79261,103.37869
46,TGI002,TalangRandai,EMPAT LAWANG,PASEMAH AIR KERUH,-3.8398,102.7358
47,LLG261,Widodo,KOTA LUBUK LINGGAU,LUBUK LINGGAU UTARA I,-3.194541,102.919831
48,MBB023,DwijayaMusirawas,MUSI RAWAS,TUGUMULYO,-3.14784,102.97499
49,UQP018,UHPIO3UNUNG_KEMBANG_BARU,MUSI RAWAS,BULANG TENGAH SUKU ULU,-3.45334,103.21811
50,MBN017,NewMuaraBulian2,BATANGHARI,MUARA BULIAN,-1.72622,103.2399
